repo,tau_0.01,tau_0.02,tau_0.03,tau_0.05,tau_0.075,tau_0.1,tau_0.125,tau_0.15,tau_0.2,tau_0.25,tau_0.3,tau_0.375,tau_0.45,tau_0.55,tau_0.65,tau_0.75,tau_0.85,tau_1
changeweb/Unifiedtransform,103,118,346,797,988,1108,1134,1159,1233,1284,1333,1368,1422,1536,1709,1776,1848,1930
BayesWitnesses/m2cgen,15,35,884,1082,1156,1190,1206,1218,1239,1256,1269,1301,1379,1441,1493,1559,1598,1677
rpng/open_vins,111,131,139,150,159,211,248,289,334,365,395,454,516,595,668,727,793,800
2d-inc/developer_quest,362,412,442,485,541,1659,1741,1799,1893,1984,2097,2206,2275,2442,2514,2581,2635,2700
NYAN-x-CAT/AsyncRAT-C-Sharp,6,6,8,13,20,29,37,47,92,120,166,221,278,335,407,483,534,683
timqian/open-source-jobs,561,619,636,658,678,726,830,864,903,939,961,991,1007,1029,1072,1099,1131,1172
xdp-project/xdp-tutorial,3,9,15,37,43,54,65,76,99,129,159,215,252,296,359,426,548,675
nickel-lang/nickel,138,166,178,192,210,223,235,254,300,300,300,300,300,300,300,300,300,300
microsoft/AttackSurfaceAnalyzer,10,16,19,53,399,644,697,712,779,829,846,886,929,1101,1160,1208,1233,1287
frontity/frontity,1,9,12,24,58,132,224,298,337,384,450,528,619,704,988,1353,1612,1871
4sval/FModel,2,2,2,5,6,10,12,17,22,25,36,46,50,68,104,132,207,260
zhulf0804/3D-PointCloud,2,2,2,2,2,3,4,5,7,10,16,21,24,27,29,35,70,162
victordibia/handtrack.js,383,600,717,850,939,1006,1088,1139,1214,1272,1332,1405,1462,1540,1624,1677,1728,2200
facebookresearch/XLM,295,332,367,407,451,502,591,639,951,1171,1482,1601,1719,1818,1916,2022,2102,2228
twmb/franz-go,1,1,1,1,1,1,1,1,1,1,2,11,13,71,181,200,200,200
ajbrock/BigGAN-PyTorch,872,935,978,1059,1106,1159,1219,1252,1351,1428,1495,1584,1633,1734,1816,1924,2014,2100
tiangolo/uvicorn-gunicorn-fastapi-docker,3,6,8,15,19,35,39,47,68,80,94,118,161,217,312,438,578,786
dakshshah96/awesome-startup-credits,1164,1237,1274,1322,1337,1346,1360,1368,1385,1445,1463,1493,1514,1569,1610,1668,1711,1774
mitsuhiko/insta,76,83,90,102,109,113,120,120,200,230,260,289,303,340,398,427,444,535
Luolc/AdaBound,1006,1673,1789,1903,1964,2042,2117,2181,2262,2316,2356,2409,2493,2551,2592,2637,2666,2703
alibaba/euler,853,936,948,1017,1073,1141,1209,1269,1349,1437,1520,1623,1724,1840,1951,2078,2172,2328
simplefoc/Arduino-FOC,1,1,1,1,1,1,1,1,1,3,7,22,43,113,211,322,400,400
aylei/interview,1215,1357,1459,1544,1609,1664,1704,1744,1819,1865,1979,2054,2119,2166,2234,2284,2330,2401
SharpAI/DeepCamera,189,317,336,377,401,417,429,442,456,459,462,464,466,471,474,476,507,717
pbatard/Fido,12,16,43,59,66,70,73,77,86,98,107,155,184,204,234,250,304,400
lorisleiva/laravel-actions,3,3,3,3,429,500,524,533,554,578,601,624,648,727,836,916,987,1227
CharlesPikachu/DecryptLogin,4,9,10,12,13,16,16,16,18,19,19,21,42,319,619,801,958,1323
SuperMonster003/Ant-Forest,2,3,44,113,187,219,255,277,358,448,496,821,937,1055,1292,1370,1542,1896
logamee/lin-cms-vue,76,84,86,131,152,183,217,281,438,534,625,745,865,966,1158,1352,1524,1761
thewhiteh4t/FinalRecon,42,63,67,93,104,109,115,127,157,196,227,244,325,442,491,573,751,885
symfony/mime,28,30,30,33,42,48,51,53,202,399,536,793,1022,1276,1433,1509,1575,1727
shadowsocks/v2ray-plugin,82,107,123,180,273,344,371,399,469,600,650,832,997,1144,1324,1459,1512,1598
YvetteLau/Blog,80,91,172,313,427,530,572,642,828,1001,1079,1228,1303,1478,1639,1740,1817,1955
huggingface/knockknock,124,215,240,263,279,309,323,335,357,604,791,1078,1207,1375,1507,1643,1791,1935
probe-rs/probe-rs,5,5,6,9,9,13,15,19,19,19,22,48,71,117,176,274,332,389
grayddq/GScan,34,37,50,60,141,263,294,331,355,391,624,667,695,775,856,945,1015,1162
Errichto/youtube,2,3,4,6,9,11,12,16,32,55,95,165,288,419,853,1053,1275,1479
NarHakobyan/awesome-nest-boilerplate,1,5,10,13,20,25,34,40,67,83,110,162,216,298,369,438,492,600
zhpmatrix/nlp-competitions-list-review,38,52,66,75,94,120,142,340,656,742,834,939,995,1121,1213,1291,1385,1538
mc1arke/sonarqube-community-branch-plugin,6,17,28,37,48,68,81,94,137,160,185,221,272,354,440,514,608,715
eliemichel/MapsModelsImporter,10,14,14,17,18,18,20,29,36,54,64,97,157,365,542,736,831,953
the-akira/Computer-Science-Resources,102,159,196,211,221,341,441,450,460,471,533,591,616,909,973,1019,1060,1191
rikschennink/shiny,2222,2435,2479,2518,2556,2574,2580,2586,2602,2627,2631,2641,2645,2659,2672,2677,2685,2690
tensorflow/graphics,4,58,1181,1429,1514,1572,1643,1685,1745,1809,1855,1911,1955,2049,2137,2199,2257,2300
jayden320/flutter_shuqi,140,270,333,410,527,804,873,954,1084,1181,1291,1381,1484,1589,1702,1807,1871,1967
teal-language/tl,1,4,6,8,17,17,19,19,19,19,19,21,36,55,145,261,415,534
NVIDIA/gpu-operator,2,2,2,2,2,3,6,7,8,9,14,57,75,115,154,192,221,262
facebook/Ax,1,1,1,2,2,405,547,625,678,741,795,878,927,1012,1100,1181,1253,1349
panr/hugo-theme-terminal,11,22,32,44,58,68,75,78,99,130,160,205,260,324,396,484,585,694
xiaolai/time-as-a-friend,156,224,271,309,349,377,399,422,538,629,669,712,741,799,868,906,935,998
smartHomeHub/SmartIR,30,42,51,62,85,104,123,140,180,217,237,263,297,334,410,481,549,631
wcventure/FuzzingPaper,12,16,20,42,80,89,135,157,231,291,349,438,502,668,726,800,800,800
taki0112/Tensorflow-Cookbook,1326,1823,1949,2070,2192,2235,2280,2311,2373,2434,2466,2500,2532,2569,2609,2623,2635,2646
laixintao/iredis,7,12,20,26,36,47,53,61,73,139,705,940,1036,1131,1200,1290,1300,1300
golevelup/nestjs,1,3,9,13,17,26,35,43,54,62,70,86,117,135,217,269,305,397
sbmpost/AutoRaise,1,2,3,3,3,4,5,6,7,7,10,11,14,17,31,34,57,110
wildfirechat/android-chat,3,4,4,9,29,216,390,532,641,767,881,1004,1131,1258,1400,1521,1607,1753
TencentCloud/TIMSDK,10,11,15,34,59,104,149,194,268,349,436,558,676,798,931,1093,1206,1390
pyro-ppl/numpyro,7,7,30,33,48,53,118,135,149,176,215,295,364,468,558,654,753,883
wesbos/eslint-config-wesbos,344,447,531,595,635,677,699,733,803,847,912,973,1247,1396,1508,1585,1711,1884
SanderMertens/ecs-faq,16,19,19,30,42,45,48,55,59,65,74,89,102,120,134,165,183,291
martinvigo/email2phonenumber,64,105,109,122,138,142,148,157,173,184,195,218,239,262,296,342,397,400
chartjs/awesome,4,5,9,12,19,32,44,48,79,109,145,174,201,276,346,403,458,560
cloud-annotations/cloud-annotations,225,331,352,400,417,470,699,1785,2021,2098,2123,2254,2286,2365,2392,2410,2419,2455
VainF/DeepLabV3Plus-Pytorch,1,1,2,2,2,2,2,3,4,8,10,13,27,57,96,171,222,300
nas5w/100-days-of-code-frontend,1,63,640,802,869,893,941,974,1018,1055,1102,1209,1254,1537,1607,1696,1799,1966
WireGuard/wireguard-windows,11,15,19,26,33,45,58,66,93,106,128,153,175,224,287,327,378,468
weskerfoot/DeleteFB,8,8,8,8,1760,2180,2257,2283,2322,2339,2372,2411,2437,2455,2477,2494,2514,2560
submariner-io/submariner,657,693,703,723,744,767,796,842,896,942,984,1064,1122,1214,1275,1312,1354,1408
js-newbee/taro-yanxuan,622,680,714,802,880,966,1030,1090,1215,1327,1409,1562,1680,1792,1940,2062,2114,2183
cosmicpython/code,1,1,1,1,2,2,3,3,6,8,10,19,32,68,144,211,282,400
brave/adblock-rust,2,3,3,4,7,139,152,161,175,183,193,204,223,262,291,320,403,483
robscott/kube-capacity,143,151,156,169,183,210,214,221,232,250,275,286,301,375,443,496,532,605
SeldonIO/alibi,1,1,1,3,174,198,217,243,279,304,326,373,404,465,556,652,742,895
harleyszhang/cv_note,6,14,15,26,59,84,91,105,344,388,424,467,504,594,664,705,750,864
biaochenxuying/blog-vue-typescript,30,42,60,77,101,118,162,200,265,327,398,500,589,692,813,929,1059,1183
switchablenorms/DeepFashion2,19,83,87,166,395,478,508,541,646,740,797,867,954,1032,1129,1214,1265,1347
flant/shell-operator,2,65,89,108,126,261,296,337,378,405,433,464,500,534,589,853,978,1098
antoinelame/GazeTracking,1,15,42,50,61,66,75,81,103,121,147,191,223,303,379,440,512,612
HypoX64/DeepMosaics,2,2,2,2,2,3,3,3,8,63,79,98,110,147,189,219,275,375
cashapp/paparazzi,2,2,2,2,3,3,3,5,6,11,184,200,206,240,305,322,338,476
loveunk/deep-learning-llm-agent-notes,1,2,2,3,12,22,27,34,41,59,66,78,91,100,117,139,171,182
sbousseaden/EVTX-ATTACK-SAMPLES,63,95,132,162,299,330,375,423,465,482,499,611,667,739,816,973,1089,1200
stephenh/ts-proto,2,2,2,5,11,15,16,16,28,41,62,85,123,182,247,295,300,300
microsoft/DirectML,2,8,13,16,18,25,27,30,40,44,50,52,55,64,130,181,259,361
NeuronDance/DeepRL,31,42,49,64,70,76,79,80,91,107,156,439,656,782,886,996,1081,1231
seanbaxter/circle,89,113,118,120,121,125,160,175,197,205,216,236,300,369,562,588,627,679
DKJone/DKWechatHelper,69,96,137,167,186,220,238,247,269,283,290,301,307,354,375,390,417,500
react-ui-kit/dribbble2react,17,27,54,145,230,307,394,506,592,776,1033,1199,1352,1641,1836,1977,2072,2174
MayaPosch/NymphCast,2,2,2,2,2,2,2,2,2,2,2,12,17,655,1113,1154,1201,1292
Weilbyte/PVEDiscordDark,5,5,5,5,5,6,12,16,21,25,26,33,40,58,77,114,255,393
yyx990803/build-your-own-mint,1579,1640,1679,1799,1816,1833,1840,1844,1874,1887,1907,1918,1933,1960,2120,2142,2160,2190
Antabot/White-Jotter,2,2,2,10,10,23,26,33,52,125,172,264,369,554,817,980,1126,1361
Altinity/clickhouse-operator,2,2,4,6,9,11,23,40,63,102,110,133,179,216,254,290,330,406
ElegantLaTeX/ElegantBook,7,10,12,16,24,30,50,73,118,147,184,237,281,346,416,491,562,673
ashemery/exploitation-course,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,114,131,186
zhihu/griffith,893,1179,1346,1429,1528,1588,1617,1641,1678,1705,1730,1780,1815,1863,1919,1967,1999,2053
riba2534/TCP-IP-NetworkNote,4,4,5,5,5,5,9,11,17,23,24,31,34,52,58,70,90,122
dmlc/decord,6,23,31,34,45,49,57,57,75,80,92,106,146,206,311,383,431,500
vuestorefront/storefront-ui,3,3,3,3,6,86,104,116,557,702,753,834,900,1020,1126,1228,1337,1428
keithrozario/Klayers,2,2,2,3,4,11,17,21,23,29,54,77,131,167,215,283,359,465
filipedeschamps/video-maker,370,541,628,776,906,986,1070,1101,1168,1268,1341,1386,1445,1529,1691,1784,1841,1935
rbatis/rbatis,1,1,2,2,2,2,2,2,3,3,3,3,5,6,105,173,304,447
actions/labeler,1,2,2,2,2,2,3,3,31,77,104,162,199,251,312,378,428,517
Mattiwatti/EfiGuard,113,119,132,165,180,197,205,231,242,259,286,307,338,374,417,457,490,548
cokemine/ServerStatus-Hotaru,23,29,30,33,37,42,46,64,78,84,97,119,170,241,364,443,558,700
sentriz/gonic,1,1,1,1,1,1,1,1,1,66,94,114,136,188,229,316,379,441
mhutchie/vscode-git-graph,3,11,15,29,41,46,54,83,115,145,175,228,267,360,429,505,575,667
inertiajs/inertia-laravel,77,91,101,120,167,197,212,230,320,396,441,491,562,629,673,789,889,1000
jstaf/onedriver,1,2,4,5,8,12,15,19,23,27,33,43,49,59,85,107,115,130
Nheko-Reborn/nheko,12,14,20,40,63,74,82,93,107,128,134,145,160,189,233,281,316,400
siriwatknp/mui-treasury,16,17,18,25,54,85,124,149,197,241,286,343,451,616,795,972,1119,1309
github/CodeSearchNet,206,704,786,839,897,922,941,949,980,1022,1044,1098,1149,1206,1272,1316,1355,1400
aleenzz/Cobalt_Strike_wiki,35,176,217,312,369,400,466,497,550,601,647,725,772,841,900,975,1033,1117
HKUST-Aerial-Robotics/A-LOAM,2,96,134,155,179,199,218,244,284,327,362,409,466,523,583,649,733,820
ssloy/tinykaboom,1429,1478,1519,1553,1571,1585,1598,1607,1631,1658,1680,1714,1731,1753,1788,1821,1849,1897
open-telemetry/opentelemetry-java,9,12,15,29,64,95,110,117,135,158,183,210,237,404,495,550,619,700
ungoogled-software/ungoogled-chromium-windows,1,2,3,6,9,11,11,13,14,18,20,24,33,39,49,62,68,96
iann0036/former2,83,90,96,106,114,125,141,154,173,194,219,263,301,395,448,511,601,700
notAI-tech/NudeNet,35,38,39,44,55,57,92,99,115,124,133,158,174,202,239,421,474,600
chemprop/chemprop,5,5,5,9,12,14,16,20,23,30,40,63,77,183,268,309,367,435
danielegrattarola/spektral,2,3,207,303,332,341,348,349,357,367,392,427,481,544,700,1188,1322,1500
Ibit-to/google-unlocked,239,267,271,284,288,292,298,306,327,503,530,551,658,690,714,753,812,912
cycloidio/terracognita,12,12,66,110,136,146,152,162,173,185,194,226,252,295,327,370,417,500
BrikerMan/Kashgari,128,138,180,223,334,361,410,468,590,768,901,1050,1216,1340,1510,1622,1739,1893
nbei/Deep-Flow-Guided-Video-Inpainting,66,78,128,184,219,791,981,1028,1086,1141,1188,1281,1330,1431,1459,1517,1587,1687
DreamCats/java-notes,1,1,1,1,2,6,6,10,24,58,82,193,355,492,607,700,700,700
snobu/destreamer,1,1,1,1,1,1,1,1,3,9,19,23,26,107,354,537,854,1236
Cocos-BCX/cocos-bcx-node-bin,5,5,5,7,565,758,2086,2093,2105,2115,2121,2125,2126,2129,2135,2139,2322,2342
fengdu78/machine_learning_beginner,184,203,216,245,300,347,380,412,478,512,587,694,840,968,1084,1180,1257,1346
michuanhaohao/reid-strong-baseline,78,161,176,249,305,353,384,438,524,584,658,867,918,1029,1151,1271,1394,1508
apache/incubator-seata-samples,11,20,43,71,96,146,190,214,271,337,415,498,610,725,891,1000,1118,1319
microsoft/Deep3DFaceReconstruction,18,36,41,51,83,90,102,110,140,177,213,264,314,417,530,668,741,923
kubeovn/kube-ovn,3,4,5,78,130,195,204,238,304,337,356,405,445,509,554,603,659,761
m9rco/Genymotion_ARM_Translation,2,3,5,6,11,13,22,25,56,99,143,250,350,448,603,734,841,1023
xiaoweiChen/CPP-Concurrency-In-Action-2ed-2019,23,32,45,70,86,124,151,179,265,354,481,653,700,700,700,700,700,700
Unmanic/unmanic,5,5,6,10,11,11,16,23,32,38,57,72,86,118,135,151,165,204
FlyGoat/RyzenAdj,10,13,18,28,38,43,55,60,77,90,97,117,140,170,197,260,312,371
inertiajs/pingcrm,76,90,94,105,138,149,154,161,209,240,309,409,474,526,567,659,749,900
graphile/worker,2,10,13,19,29,36,39,42,60,81,102,216,243,376,434,484,523,599
retroplasma/earth-reverse-engineering,1496,1542,1561,1581,1599,1631,1639,1648,1668,1676,1686,1718,1752,1795,1844,1866,1895,1943
kuoruan/openwrt-v2ray,1,2,3,3,8,12,30,67,109,137,202,299,409,599,745,854,973,1153
liyin2015/python-coding-interview,2,2,3,9,15,19,52,71,102,144,175,362,445,554,708,846,947,1062
OWASP/API-Security,2,2,2,2,2,2,2,3,60,87,103,201,246,386,435,473,520,595
Checkmk/checkmk,4,18,23,33,40,46,50,57,69,89,102,118,143,180,292,319,357,400
zhaoolee/StarsAndClown,19,160,187,308,676,793,845,878,1123,1177,1219,1280,1345,1405,1464,1495,1533,1592
